".groups","time","HR1","HR2","Resp1","Resp2","study","group","trial","condition","filename","optRadiusHR","optEmbdimHR","optDelayHR","optRadiusResp","optEmbdimResp","optDelayResp"
"1",7.1492083,-1.02651798671997,-2.10745788577822,1.30296487443316,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"2",7.150875,-0.325780215662896,-2.10257699707793,0.910560745981052,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"3",7.1525417,-0.325780215662896,-2.03773090434552,0.509005637772842,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"4",7.1542083,-0.325780215662896,-2.03773090434552,0.151225026099039,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"5",7.155875,-0.325780215662896,-2.03773090434552,-0.169780003691544,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"6",7.1575417,-0.325780215662896,-2.03773090434552,-0.453551729025923,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"7",7.1592083,-0.325780215662896,-2.03773090434552,-0.675974779299578,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"8",7.160875,-0.325780215662896,-2.03773090434552,-0.758126414114825,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"9",7.1625417,-0.325780215662896,-2.03773090434552,-0.499381953637067,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"10",7.1642083,-0.325780215662896,-1.94686616288631,0.0993594863269776,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"11",7.165875,-0.314410267020812,-1.88106755700205,0.776240672988191,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"12",7.1675417,-0.0415314996108163,-1.88106755700205,1.33958881277,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"13",7.1692083,-0.0415314996108163,-1.88106755700205,1.70789369080992,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"14",7.170875,-0.0415314996108163,-1.88106755700205,1.88767978686141,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"15",7.1725417,-0.0415314996108163,-1.88106755700205,1.9328133056122,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"16",7.1742083,-0.0415314996108163,-1.88106755700205,1.90067555159196,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"17",7.175875,-0.0415314996108163,-0.789435735542701,1.82030213009136,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"18",7.1775417,-0.0415314996108163,-0.640576850798244,1.70982076080527,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"19",7.1792083,-0.0415314996108163,-0.640576850798244,1.60477469819555,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"20",7.180875,-0.0415314996108163,-0.640576850798244,1.51300769048116,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"21",7.1825417,-0.0280472432238461,-0.640576850798244,1.43368507170883,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"22",7.1842083,0.295574910063431,-0.640576850798244,1.37156966437322,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"23",7.185875,0.295574910063431,0.123333575945647,1.31603053781785,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"24",7.1875417,0.295574910063431,0.435353327714279,1.21855728695194,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"25",7.1892083,0.295574910063431,0.435353327714279,0.994271923245769,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"26",7.190875,0.295574910063431,0.435353327714279,0.73215057642802,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"27",7.1925417,0.295574910063431,0.435353327714279,0.505087459211542,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"28",7.1942083,0.295574910063431,0.435353327714279,0.342053810996423,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"29",7.195875,0.295574910063431,0.59526044862382,0.239982210647287,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"30",7.1975417,0.295574910063431,0.674020672355386,0.171080573159967,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"31",7.1992083,0.32214606604965,0.674020672355386,0.112042308363192,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
"32",7.200875,0.959853809718945,0.674020672355386,0.0568610639729491,-0.026631182064565,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",NA,NA,NA,NA,NA,NA
