".groups","time","HR1","HR2","Resp1","Resp2","study","group","trial","condition","filename","optRadiusHR","optEmbdimHR","optDelayHR","optRadiusResp","optEmbdimResp","optDelayResp"
"1",11.203225,0.777707150184561,1.06797579218052,1.12982476935175,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"2",11.204893,0.777707150184561,1.06797579218052,0.980132137536698,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"3",11.206559,0.777707150184561,1.34974237071704,0.901265786232019,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"4",11.208223,0.777707150184561,1.45395740661411,0.96898656296942,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"5",11.209892,0.777707150184561,1.45395740661411,1.19160493525684,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"6",11.211559,0.777707150184561,1.45395740661411,1.53491453426193,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"7",11.213226,0.777707150184561,1.45395740661411,1.88276758450479,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"8",11.214892,0.777707150184561,1.50699641426047,2.13212923629811,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"9",11.216558,0.757792532518586,1.58655492573001,2.25384610291532,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"10",11.218224,0.733452444260173,1.58655492573001,2.28134176801381,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"11",11.219892,0.733452444260173,1.58655492573001,2.23055614757791,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"12",11.221559,0.733452444260173,1.58655492573001,2.13506099676979,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"13",11.223226,0.733452444260173,1.60509023214324,2.05438836969157,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"14",11.224891,0.733452444260173,1.75505771130485,2.01504875376082,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"15",11.226557,0.733452444260173,1.75505771130485,1.95506200853003,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"16",11.228225,0.733452444260173,1.75505771130485,1.84649837523948,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"17",11.229892,0.733452444260173,1.75505771130485,1.70792439474081,8.84346253953355e-16,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"18",11.231559,0.733452444260173,1.75505771130485,1.57856708890374,2.08880189501066,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"19",11.233224,0.584271164610339,1.46363450584174,1.4869056722494,1.71919143186312,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"20",11.234892,0.401938489482762,1.35584784080745,1.4383928561535,1.43814832440986,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"21",11.236557,0.401938489482762,1.35584784080745,1.40297590984455,1.2536962309373,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"22",11.238226,0.401938489482762,1.35584784080745,1.36417512528982,1.02213782684733,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"23",11.239892,0.401938489482762,1.35584784080745,1.32215189545143,0.615423506213864,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"24",11.24156,0.401938489482762,1.2859176100015,1.26761401076551,0.20739173398601,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"25",11.243223,0.401938489482762,0.578845276296909,1.2125992092252,0.138559250602049,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"26",11.244892,0.401938489482762,0.578845276296909,1.16317705971973,0.214191005691323,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"27",11.246559,0.401938489482762,0.578845276296909,1.11519342756946,0.107282571674804,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"28",11.248225,0.401938489482762,0.578845276296909,1.07210176720356,-0.0586207921646268,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"29",11.249892,0.175186772476076,0.578845276296909,1.03983279778519,-0.201914301853495,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"30",11.251559,-0.101954214976539,0.428491973000104,1.00209785482728,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"31",11.253223,-0.101954214976539,-0.0225679368903102,0.911792761049443,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"32",11.254891,-0.101954214976539,-0.0225679368903102,0.821231867893586,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"33",11.25656,-0.101954214976539,-0.0225679368903102,0.799643800690481,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"34",11.258225,-0.101954214976539,-0.0225679368903102,0.825905213436781,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"35",11.259892,-0.101954214976539,-0.0225679368903102,0.862865089164054,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"36",11.261557,-0.101954214976539,-0.0333158949421622,0.88168771433894,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"37",11.263224,-0.101954214976539,-0.0501268036899335,0.883503898064203,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"38",11.264892,-0.101954214976539,-0.0501268036899335,0.873764642044364,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"39",11.26656,-0.219223385583649,-0.0501268036899335,0.824118908251217,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"40",11.268225,-0.362552371881227,-0.0501268036899335,0.733473474296466,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"41",11.269892,-0.362552371881227,-0.0501268036899335,0.661402357527032,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"42",11.271557,-0.362552371881227,-0.0641015113459258,0.623468635396259,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"43",11.273225,-0.362552371881227,-0.0775281912507012,0.572108549151571,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"44",11.274893,-0.362552371881227,-0.0775281912507012,0.490608639855732,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"45",11.276559,-0.362552371881227,-0.0775281912507012,0.408080197245367,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"46",11.278224,-0.362552371881227,-0.0775281912507012,0.411426846071712,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"47",11.279892,-0.362552371881227,-0.0775281912507012,0.607652145599692,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"48",11.281557,-0.362552371881227,0.283288240813858,0.85782889440128,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"49",11.283225,-0.19410898497387,0.373492348829998,0.950496688659544,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"50",11.284893,0.0117662656906753,0.373492348829998,0.86366006999363,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"51",11.286558,0.0117662656906753,0.373492348829998,0.702096369005662,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"52",11.288224,0.0117662656906753,0.373492348829998,0.520176976810773,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"53",11.289891,0.0117662656906753,0.369446707183813,0.342056456432548,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"54",11.291559,0.0117662656906753,0.315697468170217,0.203429891332269,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"55",11.293225,0.0117662656906753,0.315697468170217,0.0910672302134811,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"56",11.294892,0.0117662656906753,0.315697468170217,-0.0780891616211001,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"57",11.296558,0.0117662656906753,0.315697468170217,-0.268815856360796,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"58",11.298224,0.0117662656906753,0.315697468170217,-0.408774344887049,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"59",11.299891,0.348235432843978,0.416120403995656,-0.485382350785374,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"60",11.30156,0.759475526031349,0.54923917939217,-0.503227980277263,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"61",11.303226,0.759475526031349,0.54923917939217,-0.491613613864492,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"62",11.304891,0.759475526031349,0.54923917939217,-0.496480396493043,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"63",11.306558,0.759475526031349,0.54923917939217,-0.582842890767549,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"64",11.308224,0.759475526031349,0.54923917939217,-0.77599494950813,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"65",11.309893,0.759475526031349,0.442096604444788,-0.90092713777896,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"66",11.311559,0.759475526031349,0.402468528779318,-0.875606174458244,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"67",11.313225,0.759475526031349,0.402468528779318,-0.784372664083622,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
"68",11.314891,0.759475526031349,0.402468528779318,-0.693331939491037,-0.227883075913396,"Study1","G2","T2","Synchronous","Study1_G2_T2_Synchronous.csv",NA,NA,NA,0.254049030594976,2,18
